id,original,simplified
62,"Estas detenciones parecen dirigidas a perturbar la campaña electoral de la Hermandad Musulmana y a impedir que los ciudadanos apoyen a esta organización en las próximas elecciones"".", El Gobierno de Egipto no quiere que los ciudadanos apoyen a esta organización .
63,CASI UN MILLAR DE AYUNTAMIENTOS NO OFRECEN SUS WEBS EN CASTELLANO., Casi mil ayuntamientos no ofrecen sus páginas web en castellano. 
64,"Un total de 868 ayuntamientos de los casi 9.000 municipios que hay en España no tienen sus portales web disponibles en castellano, de acuerdo con un informe elaborado por la Asociación Nacional por la Libertad Lingüística. ", La Asociación Nacional por la Libertad Lingüística ha hecho un informe sobre las lenguas de las páginas web de los ayuntamientos de España.  Este informe afirma que casi mil ayuntamientos de España no ofrecen sus páginas web en castellano. 
65,"El informe, al que tuvo acceso Servimedia y que hoy entregó al Defensor del Pueblo el presidente de la asociación, Pablo Yáñez, examina la información referente a la composición de los plenos, trámites administrativos, noticias de interés, convocatorias de empleo público, etcétera, en los portales de Internet de 2.118 ayuntamientos de Galicia, País Vasco, Cataluña, Comunidad Valenciana y Baleares;"," El informe analiza las páginas web de los ayuntamientos de lugares en las que hay dos lenguas oficiales.  Hay dos lenguas oficiales en algunos ayuntamientos de Galicia, País Vasco, Cataluña, Valencia, Islas Baleares y Navarra. "
66,"es decir, las autonomías donde hay régimen de cooficialidad de lenguas, y 271 ayuntamientos en Navarra, donde rige el régimen de zonalidades establecido en la Ley del Vascuence de 1983. "," El informe analiza las páginas web de los ayuntamientos de lugares en las que hay dos lenguas oficiales.  Hay dos lenguas oficiales en algunos ayuntamientos de Galicia, País Vasco, Cataluña, Valencia, Islas Baleares y Navarra. "
67,"Según aclara la asociación, ""no se han tenido en cuenta"" en el informe ""aquellas deficiencias que bien por motivos técnicos o de otra naturaleza provocan situaciones en las que las versiones en castellano no son de la misma calidad que las de las lenguas autonómicas.", La versión en la otra lengua oficial es de mejor calidad que la versión en castellano.
68,AGUILAR VINCULA LA LUCHA CONTRA EL CAMBIO CLIMÁTICO A LA ERRADICACIÓN DE LA POBREZA.," Rosa Aguilar, ministra de Medio Ambiente, relaciona el cambio climático con la pobreza del mundo."
69,"Estas declaraciones fueron ralizadas por la nueva ministra de Medio Ambiente en la inauguración de la jornada organizada por Gas Natural bajo el título Cambio Climático, la ruta hacia 2050.", Rosa Aguilar relaciona la lucha contra el cambio climático con la lucha contra la pobreza. Estas luchas se relacionan porque las dos son grandes cambios que pasan ahora en el mundo.
70,"Para alcanzar el objetivo de no superar un incremento de la temperatura por encima de los 2ºC, Aguilar manifestó que debemos hacer más por menos y convertir nuestros necesidades en oportunidades impulsoras del cambio, así como liderar una transición social y económica justa."," Rosa Aguilar también dice que no debemos aumentar más la temperatura del mundo. Para eso, hay que cambiar nuestras necesidades. Para eso, hay que luchar por un cambio social y económico más justo en el mundo."
71,"""El futuro es renovable, limpio y eficiente, dijo y recordó que Europa está trabajando en cómo hacer viable la senda de disminución de emisiones, cómo pasar de la reducción del 20%, al 95% en 2050.", Europa trabaja para reducir la temperatura en el mundo. La ministra Rosa Aguilar dice que el futuro del mundo debe ser limpio.
72,"Barbara Probst Solomon , Luis Rojas Marcos y José Andrés , condecorados con la Orden de las Artes "," Barbara Probst Solomon , Luis Rojas Marcos y José Andrés , condecorados con la Orden de las Artes "
73,"Barbara Probst Solomon , Luis Rojas Marcos y José Andrés , condecorados con la Orden de las Artes "," Barbara Probst Solomon , Luis Rojas Marcos y José Andrés reciben el premio de la Orden de las Artes . "
74,"El Consejo de Ministros concedió hoy la Orden de las Artes y las Letras de España a el restaurador José Andrés , a la escritora estadounidense Barbara Probst Solomon y a el psiquiatra Luis Rojas Marcos . "," Hoy el Gobierno de España ha dado el premio de la Orden de las Artes de España a tres personas .  A el cocinero José Andrés , a la escritora de Estados Unidos Barbara Probst Solomon y a el médico Luis Rojas Marcos . "
75,"A el cocinero asturiano José Andrés se le concede este reconocimiento "" por su incansable actividad de divulgación de la tradición gastronómica española a través de sus restaurantes , libros de cocina y especialmente de su programa de televisión  Made in Spain  , que han contribuido decisivamente a el creciente interés de los medios de comunicación americanos por la actual cocina española . "," El cocinero José Andrés ha recibido el premio por sus restaurantes , sus libros de cocina y su programa de cocina en la televisión . "
76,"A Probst Solomon se le premia por "" manifestar a través de sus libros y colaboraciones periodísticas su compromiso cívico y su voluntad de mejorar la sociedad en que vivimos , así como por haber contribuido a el acercamiento de dos países y dos culturas "" . ", Barbara Probst Solomon ha recibido el premio por querer mejorar la sociedad en que vivimos . 
77,"El Gobierno galardona a Luis Rojas Marcos "" por la proyección internacional de su trayectoria médica y literaria , que le ha convertido en un brillante representante de la ciencia y la cultura de nuestro país "" . ", Luis Rojas Marcos ha recibido el premio por su trabajo como médico y escritor en España y en el mundo . 
78,Amnistía denuncia tortura y malos tratos en 111 países, Amnistía denuncia tortura y malos tratos en 111 países
79,Amnistía denuncia tortura y malos tratos en 111 países, Amnistía Internacional denuncia la tortura y los malos tratos en 111 países .
80,"Amnistía Internacional ha documentado durante 2010 casos de tortura y otros malos tratos en a el menos 111 países , juicios injustos en 55 , restricciones a la libertad de expresión en 96 y presos de conciencia encarcelados en 48 ."," También ha probado la reducción de la libertad de expresión y la existencia de presos de conciencia . Esta organización ha probado casos de tortura , malos tratos y juicios injustos en 2010 ."
81,"Con motivo de el Día de los Derechos Humanos , que se celebra el 10 diciembre , activistas de la organización saldrán a la calle en más de 50 países durante 24 horas para participar en un maratón de recogida de firmas en defensa de los derechos humanos .", El día 10 de diciembre es el día de los Derechos Humanos . Ese día Amnistía Internacional recogerá firmas en defensa de los derechos humanos .
82,"En España , Amnistía estará presente en más de 50 ciudades , entre las cuales se encuentran Madrid , Barcelona , Logroño , Valencia , Burgos , Huesca , Guadalajara , Sevilla , Tenerife , Palencia , A Coruña y Palma de Mallorca ."," En España , Amnistía Internacional recogerá firmas en más de 50 ciudades ."
83,"El director de Amnistía Internacional en España , Esteban Beltrán , señaló a los periodistas en Madrid que""los derechos humanos son demasiado importantes como para dejar los en manos de los gobiernos"".", El director de Amnistía Internacional en España ha dicho que los derechos humanos no pueden depender de los gobiernos .
84,CIU DICE QUE HAY QUE MANTENER ABIERTO EL GRIFO DE LA FINANCIACIÓN PARA QUE ESPAÑA SALGA DE LA CRISIS., Josep Sánchez Llibre dice que hay que mantener la financiación  para que España salga de la crisis. 
85,El diputado de CiU Josep Sánchez Llibre insistió en que es necesario que se mantenga abierto el grifo de la financiación para que la economía española vuelva a la senda de la reactivación del empleo. , Josep Sánchez Llibre es diputado de Convergencia y Unión.  Josep Sánchez Llibre insiste en que hay que mantener la financiación para recuperar la economía española. 
86,"Durante la comparecencia del presidente del Gobierno, José Luis Rodríguez Zapatero, para informar sobre la última reunión del Consejo Europeo, Sánchez Llibre aseguró que la economía española puede salir de la crisis con celeridad, pero para ello es necesario que Europa tenga más flexibilidad con la política monetaria."," Josep Sánchez Llibre aseguró que la economía española puede salir de la crisis.  Para eso, es necesario que el Gobierno de Europa sea menos duro con la política económica de España. "
87,"En este sentido, añadió que no se trata de pedir más subvenciones, sino de crear nuevos mecanismos de refinanciación, pues estamos todos en el mismo barco del euro.", También añadió que no se trata de pedir dinero a Europa sino de crear nuevas formas de crear dinero y empleo. 
88,"Pero necesitamos financiación, reiteró.", Pero España necesita financiación para crear empleo.
89,ALREDEDOR DE 30.000 ESPAÑOLAS DE ENTRE 15 Y 19 AÑOS SE QUEDARÁN EMBARAZADAS SIN QUERERLO EN 2011., 30 mil jóvenes españolas se quedarán embarazadas sin querer en 2011.
90,"Alrededor de 30.000 chicas de entre 15 y 19 años se quedarán embarazadas sin quererlo en 2011 y más o menos la mitad abortarán, según vaticinó el director general del Instituto de la Juventud de España (Injuve), Gabriel Alconchel. ", Gabriel Alconchel ha dicho que 30 mil jóvenes españolas se quedarán embarazadas sin querer en 2011. Gabriel Alconchel es el director del Instituto de la Juventud de España. También ha dicho que la mitad de las jóvenes abortarán.
91,"El dirigente del Injuve hizo esta afirmación en la presentación de una campaña dirigida a prevenir embarazos no deseados en la población de entre 16 y 25 años, la edad de ""mayor propensión"" a implicarse en conductas sexuales de riesgo.", Gabriel Alconchel ha presentado una campaña de información para que las jóvenes no se queden embarazadas sin querer.
92,"A este respecto, tanto Alconchel como la directora del Instituto de la Mujer, Laura Seara, subrayaron que la edad media de inicio de las relaciones sexuales en España se sitúa actualmente en los 16 años y nueve meses, es decir, se ha reducido casi un año desde 2004."," Durante la campaña, Gabriel Alconchel ha dicho que los jóvenes empiezan a tener relaciones sexuales a los 16 años en España."
93,César Antonio Molina dirigirá el Centro Internacional de Lectura , César Antonio Molina dirigirá el Centro Internacional de Lectura 
94,César Antonio Molina dirigirá el Centro Internacional de Lectura , César Antonio Molina dirigirá el Centro Internacional de Lectura . 
95,"El ex ministro de Cultura César Antonio Molina será director de el futuro Centro Internacional para la Investigación , el Desarrollo y la Innovación de la Lectura / Casa de el Lector , promovido por la Fundación Germán Sánchez Ruipérez . "," Ahora , César Antonio Molina dirigirá el Centro Internacional de Lectura . "
96,"Así lo ha aprobado el patronato de la entidad , que prevé poner en marcha este centro en octubre de 2011 y cuya sede está ahora en fase de construcción en el Matadero de Madrid . ", El Centro Internacional de Lectura funcionará en octubre de 2011 .  El Centro estará en el Matadero de Madrid . 
97,César Antonio Molina cesó como titular de Cultura en abril de el año pasado y en septiembre abandonó su escaño en el Congreso de los Diputados . , César Antonio Molina fue ministro de Cultura hasta abril de 2010 . 
98,"La fundación que lleva el nombre de el fundador de la editorial SM aseguró en una nota que el centro "" significará la puesta en marcha de un nuevo proyecto cultural , educativo y social que , haciendo de la lectura su verdadero núcleo , pretende abrir se a todas las manifestaciones que ésta y sus soportes presentan en nuestra contemporaneidad "" . "," Sus protagonistas serán la lectura y el mundo de el libro .  El Centro de Lectura es un proyecto cultural , educativo y social . "
99,"Amnistía exige un cambio real en túnez , no cosmético"," Amnistía exige un cambio real en túnez , no cosmético"
100,"Amnistía exige un cambio real en túnez , no cosmético", Amnistía Internacional exige un cambio real en Túnez .
101,"Amnistía Internacional pidió a las autoridades tunecinas que , como parte de el plan de acción en materia de derechos humanos que se presentará a el nuevo Gobierno , introduzcan cambios fundamentales en el""represivo""aparato de seguridad de el país y en el sistema de justicia .", Esta organización ha pedido a el nuevo Gobierno de Túnez cambios reales en el país . La seguridad y la justicia de Túnez deben cambiar .
102,"El director general de Investigación y Programas Regionales de la asociación , Claudio Cordone , afirmó que la población de Túnez""se merece un cambio real , no uno meramente cosmético"".", La población de Túnez necesita cambios reales .
103,"""A quienes ahora ocupan el poder se les presenta una oportunidad sin precedentes de introducir reformas fundamentales y duraderas y romper con el legado de décadas de abusos de Ben Ali"", añadió .", El nuevo Gobierno puede hacer esos cambios .
104,"Amnistía propuso cambios en las fuerzas de seguridad , de manera que""ningún miembro de el aparato de seguridad debe estar por encima de la ley"", y que las autoridades condenen públicamente la tortura .", Amnistía Internacional ha propuesto que los policías estén sujetos a la ley . También ha propuesto que el Gobierno condene públicamente la tortura .
105,"CONDUCIR SIN CARNÉ, BEBIDO O CON EXCESO DE VELOCIDAD PUEDE SUPONER LA PÉRDIDA DEL COCHE."," Las personas que conducen sin carné, con mucha velocidad o que han bebido antes de conducir pueden perder el coche. "
106,"Los jueces decomisarán los coches o las motos de los conductores condenados por exceso de velocidad, por circular con una tasa de alcohol superior a la permitida o sin carné, debido a una reforma del Código Penal. "," Ha habido una reforma de las leyes.  Debido a esta reforma, los jueces quitarán el coche a las personas que conducen sin carné, con mucha velocidad o por beber alcohol antes de conducir. "
107,"Esta situación estaba prevista inicialmente sólo para los conductores kamikazes, es decir, los que ""con manifiesto desprecio por la vida de los demás"", manejaran un vehículo ""con temeridad manifiesta y poniendo en peligro la vida o la integridad de las personas""."," Antes, los jueces sólo quitaban el coche a las personas que conducían de forma peligrosa. "
108,"Ahora se amplía, aunque siempre según el parecer del juez, a conducir con un exceso de velocidad superior en 60 kilómetros por hora en vía urbana o en 80 kilómetros por hora en vía interurbana, o conducir bajo la influencia de las drogas o con una tasa de alcohol superior a 1,2 gramos por litro en sangre.", Ahora los jueces también podrán quitar el coche a las personas condenadas por otras causas.  Algunas causas son conducir muy rápido dentro de las ciudades o beber alcohol o tomar drogas antes de conducir.
109,"ANDRÉS INIESTA, IMAGEN DE LAS PERSONAS CON ENFERMEDADES RARAS TAMBIÉN EN 2011.", Andrés Iniesta representa con su imagen la campaña de enfermedades raras en 2011.
