id,idFinal,replica,Book,Página,Segmento,Atributo,Propuesta,idcod,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8
77,77_LibroBAC.pdf,0,LibroBAC.pdf,24.0,"Para la elaboración del documento se integró un equipo profesional interdisciplinario de trabajo con énfasis en administración de empresas, economía, planiﬁcación y educación, que tuvo a su cargo la investigación 
previa sobre el tema, la caracterización de la población meta o destinataria de la capacitación, la construcción de la estructura de contenidos y ﬁnalmente el desarrollo de los mismos .","15, 19, 4, 5","Se integró un equipo profesional interdisciplinario para la elaboración del documento. Este grupo se especializa en administración de empresas, economía, planificación y educación. También, tuvo a su cargo la investigación previa sobre el tema, la caracterización de la población destinataria de la capacitación, la elaboración de la estructura de contenidos y el desarrollo de estos.",Fiorella,15.0,19.0,4.0,5.0,,,,,
78,78_LibroBAC.pdf,0,LibroBAC.pdf,24.0,"La actividad investigativa se asumió con base en dos necesidades o aspectos principales: primero, identiﬁcación y análisis de modelos o propuestas para la capacitación en la administración de las ﬁnanzas personales y familiares existentes en los diferentes  países, especialmente de Norteamérica y de Latinoamérica y segundo, análisis del  currículo de la educación secundaria del país para identiﬁcar y caracterizar los aportes sobre el tema que estuvieren o no presentes en el mismo.","15, 5, 11, 16","La actividad investigativa se abordó con base en dos aspectos principales: en primer lugar, se identificaron y analizaron modelos o propuestas para la capacitación sobre la administración de las finanzas personales y familiares que existe en diferentes países. En segundo lugar, se analizó el currículo de la educación secundaria del país. Esto se hizo con el fin de identificar y caracterizar los aportes sobre administración que estuvieran o no en el plan de estudios.",Fiorella,15.0,5.0,11.0,16.0,,,,,
80,80_LibroBAC.pdf,0,LibroBAC.pdf,25.0,"No obstante, siendo el dinero un factor de primera importancia en la vida ﬁnanciera de las personas, de la familia y de la sociedad, el mismo ha sido marcado por algunos mitos, derivados o generados del mal uso que muchas personas le han dado al mismo.","12, 15, 5, 19","No obstante, el dinero ha sido marcado por algunos mitos. Estas invenciones se generan del mal uso que muchas personas le han dado. Sin embargo, el dinero es sumamente importante en la vida financiera de las personas, de la familia y de la sociedad.",Fiorella,12.0,15.0,5.0,19.0,,,,,
81,81_LibroBAC.pdf,0,LibroBAC.pdf,25.0,"El dinero, como medio de pago para la adquisición de bienes y servicios o como descargo de deudas y obligaciones, es un recurso esencial sobre el cual se fundamentan la economía y las ﬁnanzas, que en la práctica o en la acción, están estrechamente relacionadas y complementadas.","15, 4, 19, 17","El dinero es un medio de pago para la adquisición de bienes y servicios o una manera de liberarse de deudas y obligaciones. También, la economía y las finanzas se fundamentan sobre este recurso esencial y están estrechamente relacionadas y complementadas en la práctica.",Fiorella,15.0,4.0,19.0,17.0,,,,,
82,82_LibroBAC.pdf,0,LibroBAC.pdf,25.0,"Sin dinero no se puede vivir, pudiéndose aﬁrmar también en que no sólo de dinero vive el ser humano, la familia y la sociedad aunque también de dinero.","19, 5","Se puede afirmar que el ser humano, la familia y la sociedad no solo viven de dinero, pero tampoco se puede vivir sin él.",Fiorella,19.0,5.0,,,,,,,
83,83_LibroBAC.pdf,0,LibroBAC.pdf,25.0,"Para responder o contribuir a subsanar el vacío que ha dejado la educación en las personas, especialmente  en lo que tiene que ver  con la educación ﬁnanciera, es que se ha presentado la iniciativa de capacitar en tal sentido y para ayudar en tal propósito es que se ha construido a la vez este Libro Maestro el cual proporcionará como fuente, la estructura básica de dicha  capacitación y los contenidos también básicos para la misma.","19, 15, 6, 4, 5","Se ha presentado la iniciativa de capacitar a las personas sobre educación financiera para responder o subsanar el vacío que ha dejado el sistema educativo. Asimismo, este Libro Maestro se ha elaborado para ayudar en tal propósito y proporcionar la estructura básica y los contenidos básicos para la capacitación.",Fiorella,19.0,15.0,6.0,4.0,5.0,,,,
84,84_LibroBAC.pdf,0,LibroBAC.pdf,25.0,"Para la elaboración del libro se siguió un proceso metodológico que incluyó una etapa de investigación de experiencias sobre el tema en otros países, una de caracterización de la población sujeto de la capacitación, una de identiﬁcación de fuentes documentales, una de elaboración o desarrollo del libro y una ﬁnal de validación y ajuste del documento antes de la correspondiente de diseño editorial y de publicación .","19, 15, 4, 5","El proceso metodológico empleado para la elaboración del libro incluyó distintas etapas. En la primera, se investigaron experiencias sobre el tema en otros países. En la segunda, se caracterizó la población meta de la capacitación. En la tercera, se identificaron las fuentes documentales. En la cuarta, se elaboró el libro. En la quinta y última, se validó y ajustó el documento antes del diseño editorial y de la publicación.",Fiorella,19.0,15.0,4.0,5.0,,,,,
557,557_LibroBAC.pdf,0,LibroBAC.pdf,32.0,"En este sentido, se plantea la importancia de desarrollar conocimientos, actitudes, destrezas, valores, hábitos y costumbres favorables al logro de una libertad, independencia y cultura ﬁnanciera, en el contexto del desarrollo económico y social del país.","6, 5","En este sentido, es importante desarrollar conocimientos, actitudes, destrezas, valores, hábitos y costumbres favorables para lograr libertad, independencia y cultura ﬁnanciera en el desarrollo económico y social del país.",Fiorella,6.0,5.0,,,,,,,
559,559_LibroBAC.pdf,0,LibroBAC.pdf,32.0,"Se trata, igualmente, de presentar la importancia de la educación ﬁnanciera para contribuir al desarrollo personal, familiar, comunitario, empresarial y social  y de revisar el proceso de aprendizaje e instauración  de una cultura de prosperidad o éxito y la adopción de decisiones adecuadas para el logro del desarrollo mencionado.","15, 16, 5","Se trata de presentar la importancia de la educación financiera al contribuir en el desarrollo personal, familiar, comunitario, empresarial y social. También, se propone revisar el proceso de aprendizaje, instaurar una cultura próspera y adoptar las decisiones adecuadas para lograr el desarrollo mencionado.",Fiorella,15.0,16.0,5.0,,,,,,
560,560_LibroBAC.pdf,0,LibroBAC.pdf,32.0,"También, se revisan los principales aspectos que comprende la educación ﬁnanciera, no sólo en relación con el buen manejo de las herramientas e instrumentos ﬁnancieros, sino también lo que signiﬁca en el contexto económico y social del país y las responsabilidades que deben asumirse.","15, 5, 6","También, se revisan los principales aspectos que comprenden la educación financiera. Esta revisión se realiza respecto al buen manejo de las herramientas financieras y al significado adquirido en el contexto socioeconómico del país y sobre las responsabilidades que deben asumirse.",Fiorella,15.0,5.0,6.0,,,,,,
566,566_LibroBAC.pdf,0,LibroBAC.pdf,34.0,"En Estados Unidos (2000) una encuesta revela que menos del 60% de los estudiantes de secundaria encuestados, contestaron correctamente pruebas destinadas a medir la habilidad del estudiante para escoger y manejar una tarjeta de crédito, conocimientos sobre el ahorro y la inversión para el retiro, la conciencia sobre el riesgo y la importancia de asegurarse contra el mismo.","15, 14, 19, 5","Se realizó una encuesta en Estados Unidos, durante el año dos mil, a estudiantes de secundaria para medir su habilidad al escoger y manejar una tarjeta de crédito, sus conocimientos sobre el ahorro y la inversión para el retiro y su conciencia sobre la importancia de asegurarse. Esta encuesta revela que menos del sesenta porciento de los estudiantes encuestados contestaron correctamente las preguntas.",Fiorella,15.0,14.0,19.0,5.0,,,,,
567,567_LibroBAC.pdf,0,LibroBAC.pdf,34.0,"En Japón (2000) una encuesta revela que el 71% de los adultos no tienen conocimiento sobre acciones y bonos, 57% no tiene conocimiento de productos ﬁnancieros en general y 29% no tiene conocimiento sobre seguros, pensiones ni impuestos.","14, 19, 6","Una encuesta realizada en Japón, durante el año dos mil, revela que el setenta y un porciento de los adultos no sabe sobre acciones y bonos, el cincuenta y siete porciento no sabe sobre productos financieros en general y el veintinueve porciento no sabe sobre seguros, pensiones ni impuestos.",Fiorella,14.0,19.0,6.0,,,,,,
568,568_LibroBAC.pdf,0,LibroBAC.pdf,34.0,Se estima que si no se mejora la toma de conciencia en materia de educación ﬁnanciera se van a presentar serios problemas económicos y sociales en el futuro cercano.,"6, 19",Se estima que se presentarían serios problemas socioeconómicos en el futuro cercano si no se mejora la toma de conciencia respecto a la educación financiera.,Fiorella,6.0,19.0,,,,,,,
569,569_LibroBAC.pdf,0,LibroBAC.pdf,34.0,"La combinación de productos ﬁnancieros soﬁsticados y la creciente responsabilidad individual en la toma de 
decisiones ﬁnancieras, conlleva a que las personas necesitan una mejor comprensión de cómo lidiar con los mercados ﬁnancieros.","6, 19",Se necesita aprender a lidiar con los mercados financieros debido a la relación entre los productos financieros sofisticados y la creciente responsabilidad individual al tomar decisiones financieras.,Fiorella,6.0,19.0,,,,,,,
571,571_LibroBAC.pdf,0,LibroBAC.pdf,34.0,"Asimismo, ha publicado en julio de 2005, el documento Recomendaciones sobre Principios y Buenas 
Prácticas de Educación Financiera y la Toma de Conciencia en esa Materia, que fue adoptado por su Consejo.","14, 19, 4","Asimismo, ha publicado el documento titulado Recomendaciones sobre Principios y Buenas 
Prácticas de Educación Financiera y la Toma de Conciencia en esa Materia. Este documento fue publicado en julio de dos mil cinco y fue acogido por el Consejo de esta organización.",Fiorella,14.0,19.0,4.0,,,,,,
573,573_LibroBAC.pdf,0,LibroBAC.pdf,34.0,"Algunos de los principios y buenas prácticas de educación ﬁnanciera y la toma de conciencia en esa materia, han sido destacados por Barsallo (2005), como sigue: Para comenzar a incursionar sobre este importante tema que nos ocupa digamos, entonces, que la Educación Financiera es el proceso educativo por medio del cual las personas toman conciencia de la importancia de desarrollar conocimientos, actitudes, destrezas, valores, hábitos y costumbres en el manejo de la economía personal y familiar, por medio del conocimiento y la utilización adecuada de las herramientas e instrumentos básicos de la vida ﬁnanciera.","15, 16, 5","Barsallo ha destacado algunos de los principios y buenas prácticas de la educación financiera y la toma de conciencia en ese tema. Este experto señala que la Educación Financiera es un proceso educativo y permite tomar conciencia sobre la importancia de desarrollar conocimientos, actitudes, destrezas, valores, hábitos y costumbres en el manejo de la economía personal y familiar. Esto se realiza por medio del conocimiento y la utilización adecuada de las herramientas básicas de la vida financiera.",Fiorella,15.0,16.0,5.0,,,,,,
575,575_LibroBAC.pdf,0,LibroBAC.pdf,34.0,"El análisis de la conceptualización de la educación ﬁnanciera permite llegar a diversas aproximaciones;  pero, en general, los elementos que se consideran tienen relación con los aspectos ﬁnancieros y su contexto.","21, 19, 5","El análisis de la educación ﬁnanciera permite llegar a diversas aproximaciones. Pero, en general, los elementos considerados tienen relación con los aspectos financieros y su contexto.",Fiorella,21.0,19.0,5.0,,,,,,
577,577_LibroBAC.pdf,0,LibroBAC.pdf,34.0,"La educación ﬁnanciera ha sido deﬁnida por la Organización para la Cooperación y el Desarrollo Económicos (OCDE) 7 como “el proceso por el cual los consumidores ﬁnancieros/inversionistas mejoran su entendimiento de productos ﬁnancieros, conceptos y riesgos, y a través de la información, instrucción y/o consejos objetivos, desarrollan las habilidades y conﬁanza para volverse más conscientes de los riesgos ﬁnancieros y las oportunidades, para tomar decisiones informadas, para conocer dónde acudir para obtener ayuda, y para tomar otras acciones efectivas para mejorar su bienestar ﬁnanciero.","15, 16, 8.3, 7, 5, 9.1, 6","La Organización para la Cooperación y el Desarrollo Económicos definió el concepto de educación financiera como el proceso por el que los consumidores inversionistas mejoran su entendimiento sobre los productos financieros, conceptos y riesgos. Además, ellos desarrollan habilidades y confianza a través de la información, instrucción o consejos objetivos. Estas cualidades les permite concientizar sobre los riesgos financieros y las oportunidades. Así, pueden tomar decisiones informadas, conocer dónde acudir para obtener ayuda y tomar otras acciones efectivas para mejorar su bienestar financiero.",Fiorella,15.0,16.0,8.0,7.0,5.0,9.0,6.0,,
580,580_LibroBAC.pdf,0,LibroBAC.pdf,34.0,"La promoción de la educación ﬁnanciera no debe ser un sustituto para la regulación ﬁnanciera, la cual es esencial para proteger a los consumidores.","9.1, 6","La promoción de la educación ﬁnanciera no debe sustituir a la regulación ﬁnanciera, que es esencial para proteger a los consumidores.",Fiorella,9.0,6.0,,,,,,,
583,583_LibroBAC.pdf,0,LibroBAC.pdf,35.0,"La educación ﬁnanciera debe ser parte de un buen gobierno corporativo de las instituciones ﬁnancieras, cuya rendición de cuentas y responsabilidad debe ser promovida.",9.1,"La educación ﬁnanciera debe ser parte de un buen gobierno corporativo de las instituciones ﬁnancieras. Además, se debe promover la rendición de cuentas y responsabilidad de dicho gobierno.",Fiorella,9.0,,,,,,,,
585,585_LibroBAC.pdf,0,LibroBAC.pdf,35.0,"Las instituciones ﬁnancieras deben promover la revisión de que los clientes lean y comprendan la información que reciben, especialmente cuando se relaciona con compromisos a largo plazo o servicios ﬁnancieros con consecuencias ﬁnancieras potencialmente signiﬁcativas.","15, 17",Las instituciones financieras deben promover la revisión de que los clientes lean y comprendan la información recibida. Esto se debe realizar especialmente cuando se relaciona con compromisos a largo plazo o servicios financieros con consecuencias económicas potencialmente significativas.,Fiorella,15.0,17.0,,,,,,,
588,588_LibroBAC.pdf,0,LibroBAC.pdf,35.0,"Campañas nacionales, sitios Web especíﬁcos, servicios gratuitos de información y sistemas de alerta/ advertencia en temas de alto riesgo para los consumidores ﬁnancieros (tales como el fraude) deben ser promovidos.","16, 5, 7","Se deben promover las campañas nacionales, sitios Web especíﬁcos, servicios gratuitos de información y sistemas de advertencia en temas de alto riesgo para los consumidores ﬁnancieros.",Fiorella,16.0,5.0,7.0,,,,,,
589,589_LibroBAC.pdf,0,LibroBAC.pdf,35.0,"En cuanto a los resultados concretos, resalta el hecho de que la educación ﬁnanciera inﬂuye en el comportamiento de las personas consumidoras e inversionistas.","6, 19","Respecto a los resultados concretos, es destacable la influencia de la educación ﬁnanciera en el comportamiento de las personas consumidoras e inversionistas.",Fiorella,6.0,19.0,,,,,,,
590,590_LibroBAC.pdf,0,LibroBAC.pdf,35.0,"“Estudios demuestran que:  Seminarios sobre planes de retiro ofrecidos en el trabajo incrementan la participación en planes voluntarios de retiro entre un 6 y 12%, así como aumentan la cuota de contribución a estos planes.","21, 14, 19","Estudios demuestran que los seminarios ofrecidos en el trabajo sobre planes de retiro incrementan la participación en planes voluntarios de retiro entre un seis y un doce porciento. También, aumentan la cuota de contribución a estos planes.",Fiorella,21.0,14.0,19.0,,,,,,
595,595_LibroBAC.pdf,0,LibroBAC.pdf,35.0,"Como sucede con la educación en general, y la ﬁnanciera no es la excepción, el conocimiento es poder y da libertad a quien lo posee.","19, 5","En la educación general y la financiera, el conocimiento da poder y libertad a quien lo posee.",Fiorella,19.0,5.0,,,,,,,
842,842_LibroBAC.pdf,0,LibroBAC.pdf,45.0,"Si tomamos en cuenta lo anterior, una estrategia de libertad ﬁnanciera contempla el plan de acción para que usted perciba ingresos de tipo residual .","4, 5","Si tomamos en cuenta lo anterior, una estrategia de libertad ﬁnanciera considera el plan de acción para percibir ingresos de tipo residual.",Fiorella,4.0,5.0,,,,,,,
843,843_LibroBAC.pdf,0,LibroBAC.pdf,45.0,No hace referencia únicamente a una edad especíﬁca en la cual la mayoría de las personas se pensionan como en el caso de las estrategias pensionales.,"9.1, 5","No hace referencia únicamente a una edad especíﬁca en la que la mayoría de las personas se pensionan, como en las estrategias pensionales.",Fiorella,9.0,5.0,,,,,,,
844,844_LibroBAC.pdf,0,LibroBAC.pdf,45.0,El plan de acción de libertad ﬁnanciera es diferente para cada persona ya que se implementa a partir de la situación actual de cada cual y de acuerdo al objetivo que cada quien tiene en cuanto al monto requerido de ingresos residuales en un momento de tiempo que cada individuo deﬁne.,"5, 6, 15",El plan de acción de libertad ﬁnanciera es diferente para cada persona. Este se implementa según el contexto de cada quien y el objetivo que plantee de acuerdo al monto requerido de ingresos residuales en un momento definido.,Fiorella,5.0,6.0,15.0,,,,,,
845,845_LibroBAC.pdf,0,LibroBAC.pdf,45.0,En la mayoría de los casos involucra la implementación de estrategias de inversión muy especializadas como punto de partida.,"7, 2",La mayoría de los casos involucra la implementación de estrategias de inversión muy especializadas desde el inicio.,Fiorella,7.0,2.0,,,,,,,
846,846_LibroBAC.pdf,0,LibroBAC.pdf,45.0,"Por supuesto, que es importante que la libertad ﬁnanciera incluya los aspectos sobre pensión pero, asimismo, debe considerar otras estrategias de libertad ﬁnanciera como el incluir la variable tiempo para dedicarla a los asuntos que más interese “como por ejemplo viajar, pasar tiempo con el cónyuge, con los hijos o con la familia, estudiar, aprender un nuevo idioma o a tocar un nuevo instrumento, dedicarse a un hobby, en ﬁn.","15, 17, 5, 6","Por supuesto, es importante que la libertad ﬁnanciera incluya los aspectos sobre pensión. Pero también debe considerar otras estrategias de libertad ﬁnanciera, como dedicar el tiempo a los asuntos personales que más interese.",Fiorella,15.0,17.0,5.0,6.0,,,,,
850,850_LibroBAC.pdf,0,LibroBAC.pdf,45.0,"Abarca mucho más que dinero, abarca tiempo y su combinación, logrando una verdadera calidad de vida.","5, 12","Abarca dinero y tiempo, porque así logra una verdadera calidad de vida.",Fiorella,5.0,12.0,,,,,,,
2036,2036_LibroBAC.pdf,0,LibroBAC.pdf,65.0,"2) Leyes de concomitancia: se componen de relaciones que consisten en que dos o más hechos aparecen juntos constantemente; también se denominan leyes de estructura, dado que los hechos que aparecen juntos, constantemente forman una estructura regular de hechos.","14, 15, 17, 21, 5","En segundo lugar, las leyes de concomitancia se componen de relaciones donde dos o más hechos aparecen juntos constantemente. También, se denominan leyes de estructura porque los hechos que aparecen juntos forman una estructura regular.",Fiorella,14.0,15.0,17.0,21.0,5.0,,,,
2039,2039_LibroBAC.pdf,0,LibroBAC.pdf,65.0,"3) Leyes funcionales, que ocurren cuando existe una relación o nexo entre hechos que pueden ser cuantitativamente mensurables, y por tanto, ser representados mediante funciones matemáticas.","14, 17","En tercer lugar, las leyes funcionales ocurren cuando existe una relación o nexo entre hechos que pueden ser cuantitativamente mensurables. Por tanto, pueden ser representados mediante funciones matemáticas.",Fiorella,14.0,17.0,,,,,,,
2040,2040_LibroBAC.pdf,0,LibroBAC.pdf,65.0,"Ejemplo de algunas leyes de la economía de mercado: Cuando la oferta baja, los precios suben.","19, 18",Un ejemplo de algunas leyes de la economía mercantil es que los precios suben cuando la oferta baja.,Fiorella,19.0,18.0,,,,,,,
2044,2044_LibroBAC.pdf,0,LibroBAC.pdf,65.0,"Por otra parte, para facilitar el estudio de la economía, ésta se ha dividido en dos grandes campos o áreas, permanentemente mencionadas en los análisis económicos:","19, 5, 15, 1","Por otra parte, se ha dividido la economía en dos grandes áreas para facilitar su estudio. Estos dos campos siempre son mencionados en los análisis económicos.",Fiorella,19.0,5.0,15.0,1.0,,,,,
2045,2045_LibroBAC.pdf,0,LibroBAC.pdf,65.0,"La Microeconomía que es la rama de la economía que estudia el comportamiento de las unidades de decisión económica individuales, tales como: las familias y las empresas, y la forma en que interactúan en el mercado.","15, 17, 19",La Microeconomía es la rama de la economía que estudia el comportamiento de las unidades individuales de decisión económica y la forma en que interactúan en el mercado. Algunas de estas unidades son la familia y las emprensas.,Fiorella,15.0,17.0,19.0,,,,,,
2047,2047_LibroBAC.pdf,0,LibroBAC.pdf,65.0,"Trata también de descubrir lo que motiva al individuo a gastar o a ahorrar, lo cual es muy importante en los objetivos de este libro.","17, 4","También intenta descubrir lo que motiva al individuo a gastar o ahorrar. Esto es muy importante en los objetivos de este libro,",Fiorella,17.0,4.0,,,,,,,
2048,2048_LibroBAC.pdf,0,LibroBAC.pdf,65.0,"Investiga, igualmente, lo relacionado con la determinación de los precios en las empresas o compañías y el comportamiento del principio de la oferta y la demanda, el número de empleados de la compañía y otros factores similares.","15, 19","Igualmente, investiga lo relacionado con la determinación de los precios en las empresas o compañías. Además, el comportamiento del principio de la oferta y la demanda, el número de empleados de la compañía y otros factores similares.",Fiorella,15.0,19.0,,,,,,,
2050,2050_LibroBAC.pdf,0,LibroBAC.pdf,65.0,"Estudia las variables globales que afectan el comportamiento económico de un país, tales como la producción total, el ingreso nacional, el gasto nacional, la inversión, el consumo, la balanza de pagos, y otras como la inﬂación, el empleo, etc.","15, 5, 13","Esta rama estudia las variables globales que afectan el comportamiento de un país. Unos ejemplos de estas variables son la producción total, el ingreso nacional, el gasto nacional, la inversión, el consumo, la balanza de pagos, la inﬂación, el empleo, entre otros.",Fiorella,15.0,5.0,13.0,,,,,,
2052,2052_LibroBAC.pdf,0,LibroBAC.pdf,66.0,"Al comienzo de la ciencia económica, antes de 1930, los economistas se dedicaban principalmente al análisis microeconómico, sin embargo, a partir de tal fecha cobró fuerza y se hizo una necesidad también el estudio macroeconómico, lo cual es avalado por los cambios que ha ido teniendo el mundo en el campo de la producción y de los mercados, como es actualmente el fenómeno de la globalización, que crea otras perspectivas como los tratados de libre comercio.","15, 14, 19, 5","Los económistas se dedicaban principalmente al análisis microeconómico al comienzo de la ciencia económica, antes de mil novecientos treinta. Sin embargo, el estudio macroeconómico cobró fuerza y se hizo una necesidad a partir de esa fecha. Este punto es respaldado por los cambios que ha ido teniendo el mundo en la producción y los mercados. Esto se ejemplifica con el fenomeno actual de la globalización, que crea otras perspectivas como los tratados de libre comercio.",Fiorella,15.0,14.0,19.0,5.0,,,,,
2055,2055_LibroBAC.pdf,0,LibroBAC.pdf,66.0,"Como los cambios de la economía global son el resultado de las decisiones de millones de personas, es imposible comprender los fenómenos macroeconómicos sin examinar las decisiones microeconómicas correspondientes.","7, 15,","Los cambios de la economía global son el resultado de las decisiones de millones de personas. Es decir, es imposible comprender los fenómenos macroeconómicos sin examinar las decisiones microeconómicas correspondientes.",Fiorella,7.0,15.0,99.0,,,,,,
2056,2056_LibroBAC.pdf,0,LibroBAC.pdf,66.0,"Una economía ideal, perfectamente competitiva, extrae de los recursos existentes en la sociedad la cantidad máxima posible de bienes y servicios útiles, de manera que todos los habitantes del país puedan acceder a ellos y gozar de sus beneﬁcios.","15, 16, 19","Una economía ideal y perfectamente competitiva extrae la cantidad máxima posible de bienes y servicios útiles de los recursos existentes en la sociedad. De esta manera, todos los habitantes del país pueden acceder a ellos y gozar de sus beneﬁcios.",Fiorella,15.0,16.0,19.0,,,,,,
2057,2057_LibroBAC.pdf,0,LibroBAC.pdf,66.0,"Pero el mercado no siempre se comporta de acuerdo con este ideal perfecto; en las economías de mercado hay monopolios (una única empresa ofrece una mercancía o servicio), contaminación, desempleo e inﬂación (aumento anual porcentual del nivel general de precios), y la distribución de la renta de las sociedades a veces se considera poco equitativa.","15, 21, 7, 5, 19","Pero el mercado no siempre se comporta de acuerdo a este ideal perfecto. Las economías de mercado tienen monopolios (una única empresa ofrece una mercancía o servicio), contaminación, desempleo e inﬂación (aumento anual porcentual del nivel general de precios). Además, a veces se considera la distribución de la renta como poco equitativa.",Fiorella,15.0,21.0,7.0,5.0,19.0,,,,
